225,150,150,90,150,150,150,150
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
2007,2007,1974,1974,1974,1966,1966,1746
320,172,194,97,114,110,144,34
1.22,1.22,0.68,0.73,0.99,1.08,0.75,0.54
